DateTime,Entries,UniqueIPs
1472824922,2079,2219
1472825522,2083,2223
1472826122,2074,2214
1472826721,2067,2206
1472827321,2071,2210
1472827921,2070,2209
1472829123,2066,2205
1472829722,2063,2202
1472830321,2073,2211
1472830921,2078,2216
1472832121,2073,2205
1472832721,2075,2207
1472833321,2049,2179
1472833922,2046,2176
1472834521,2053,2183
1472835122,2059,2189
1472835723,2050,2180
1472836321,2049,2179
1472836921,2054,2182
1472837522,2054,2182
1472838122,2058,2180
1472838722,2057,2177
1472839322,2064,2181
1472839922,2062,2180
1472840522,2078,2196
1472841721,2066,2184
1472842323,2057,2171
1472842921,2026,2139
1472843521,2028,2141
1472844122,2033,2146
1472844721,2037,2150
1472845322,2031,2144
1472846521,2038,2151
1472847121,2045,2158
1472847721,2050,2163
1472848321,2052,2166
1472848922,2064,2178
1472849522,2079,2193
1472850121,2059,2170
1472850721,2060,2171
1472851321,2053,2160
1472851921,2056,2163
1472852522,2043,2150
1472853121,2049,2156
1472853721,2049,2154
1472854321,2050,2155
1472854922,2051,2156
1472855521,2056,2161
1472856121,2060,2166
1472856722,2068,2174
1472857322,2061,2163
1472857921,2068,2170
1472858522,2059,2160
1472859121,2049,2149
1472859721,2050,2150
1472860322,2049,2149
1472860922,2046,2146
1472862121,2044,2133
1472862722,2010,2096
1472863321,2008,2093
1472863927,1990,2072
1472865721,1965,2046
1472866321,1962,2043
1472866921,1969,2050
1472867522,1979,2058
1472868122,1998,2077
1472868723,2008,2089
1472869322,2013,2090
1472869921,2016,2093
1472870521,2030,2107
1472871122,2028,2105
1472871722,2023,2097
1472872322,2043,2114
1472872921,2048,2119
1472874122,2042,2111
1472875322,2039,2107
1472876521,2037,2104
1472877121,2064,2131
1472877721,2064,2130
1472878321,2057,2117
1472878921,2053,2113
1472879522,2060,2120
1472880122,2045,2097
1472880722,2042,2093
1472881321,2043,2094
1472881922,2040,2091
1472882522,2044,2093
1472883721,2038,2087
1472884922,2040,2090
1472885522,2056,2106
1472886121,2059,2110
1472886722,2066,2114
1472887322,2046,2092
1472887921,2044,2089
1472888522,2033,2078
1472889122,2030,2075
1472889721,2033,2078
1472890922,2032,2076
1472891522,2034,2078
1472892121,2030,2074
1472892722,2026,2070
1472893321,2034,2078
1472894521,2030,2073
1472895721,2031,2073
1472896321,1989,2028
1472897522,1985,2022
1472898121,1970,2007
1472898722,1978,2015
1472899322,1986,2022
1472900522,1982,2019
1472901721,1986,2023
1472902921,1987,2025
1472903521,1961,1995
1472904122,1965,1998
1472904722,1971,2004
1472905322,1957,1988
1472905921,1981,2013
1472906521,1964,1994
1472907122,1968,1998
1472907721,1952,1981
1472908922,1951,1979
1472909521,1950,1978
1472910122,1947,1975
1472911321,1961,1990
1472912522,1959,1988
1472913122,1965,1994
1472913721,1971,2000
1472914322,1964,1993
1472914922,1957,1986
1472915522,1965,1994
1472916124,1968,1997
1472917321,1964,1993
1472917921,1966,1995
1472919722,1965,1993
1472920922,1965,1993
1472921522,1966,1994
1472922121,1967,1995
1472923321,1965,1993
1472923921,1966,1994
1472924521,1968,1997
1472925122,1946,1974
1472925721,1953,1981
1472926321,1995,2039
1472926922,1999,2043
1472927521,2006,2050
1472928121,1965,2008
1472928721,1970,2024
1472929322,1987,2042
1472929922,1992,2047
1472930521,1992,2047
1472931122,1989,2045
1472931722,1992,2048
1472932322,1990,2050
1472932922,1989,2051
1472933521,1992,2054
1472934122,1973,2032
1472934721,1975,2039
1472935321,1968,2035
1472936522,1960,2025
1472937122,1954,2018
1472937721,1966,2030
1472938322,1949,2013
1472938921,1953,2017
1472939522,1960,2024
1472940121,1966,2031
1472940722,1969,2035
1472941321,1970,2036
1472941921,1969,2035
1472942522,1973,2039
1472943122,1972,2038
1472943721,1974,2040
1472944321,1968,2034
1472944922,1962,2031
1472946121,1962,2031
1472946722,1967,2036
1472947322,1967,2036
1472947923,1971,2040
1472948522,1967,2036
1472949722,1962,2031
1472950322,1963,2032
1472950923,1965,2034
1472951521,1975,2044
1472953322,1906,1969
1472954522,1904,1967
1472955122,1910,1973
1472955722,1918,1981
1472956322,1910,1973
1472956926,1915,1978
1472957522,1907,1970
1472958122,1912,1975
1472959322,1869,1932
1472959922,1871,1934
1472961122,1872,1935
1472961722,1871,1934
1472962321,1872,1935
1472962923,1882,1945
1472963521,1885,1948
1472964121,1887,1951
1472964722,1858,1921
1472965322,1862,1924
1472965922,1865,1927
1472966522,1861,1922
1472967122,1861,1922
1472967722,1861,1922
1472968321,1864,1925
1472968922,1879,1940
1472969522,1869,1930
1472970123,1878,1939
1472970721,1886,1947
1472971322,1893,1954
1472972522,1905,1966
1472973122,1917,1978
1472973722,1921,1982
1472974923,1916,1977
1472975522,1916,1977
