DateTime,Entries,UniqueIPs
1472975522,38052,90300
1472975762,38048,90296
1472976204,38047,90296
1472976965,38010,90259
1472977322,38014,90262
1472977922,38017,90265
1472978522,38009,90256
1472978883,38065,90312
1472979122,38063,90310
1472979363,38063,90310
1472979742,38034,90273
1472980322,38037,90276
1472980804,38005,90244
1472980922,38004,90243
1472982121,38005,90244
1472982726,38058,90297
1472982963,38061,90300
1472983403,38058,90294
1472983922,38061,90297
1472984643,38010,90240
1472985722,37983,90212
1472986565,38029,90259
1472987001,38020,90241
1472987540,38017,90238
1472988121,38018,90239
1472988722,38013,90234
1472989322,37985,90205
1472989922,37990,90210
1472990406,37959,90179
1472990546,37958,90176
1472991122,37962,90180
1472991722,37964,90183
1472992322,38014,90232
1472992382,38013,90231
1472992921,38016,90234
1472993763,38018,90236
1472994199,38022,90240
1472994722,38029,90247
1472995321,38031,90249
1472995921,38032,90250
1472996172,38057,90275
1472996521,38057,90274
1472997122,38063,90280
1472997363,38056,90273
1472997799,38050,90267
1472998088,37979,90196
1472998322,37967,90183
1472998922,37956,90171
1472999522,37961,90176
1473000003,38022,90237
1473000121,38023,90238
1473000722,38027,90243
1473000963,38030,90246
1473001397,38042,90258
1473001922,38020,90236
1473002521,38021,90237
1473003845,38037,90253
1473004563,38025,90241
1473004921,38043,90259
1473004997,38039,90255
1473005521,38041,90257
1473006121,38042,90259
1473006722,38046,90263
1473007321,38055,90272
1473007684,38012,90228
1473007922,38013,90229
1473008163,38016,90232
1473008602,38013,90229
1473009122,38014,90230
1473009722,38015,90231
1473010321,38015,90231
1473010381,38047,90263
1473010921,38045,90260
1473011523,38108,90324
1473011762,38108,90324
1473012196,38099,90313
1473013322,38105,90319
1473013921,38107,90321
1473014521,38111,90325
1473015123,38105,90319
1473015363,38035,90247
1473015721,38023,90235
1473016321,38024,90236
1473016549,38025,90237
1473016816,38027,90240
1473016922,38030,90243
1473017522,38031,90244
1473018122,38027,90233
1473018722,38028,90233
1473019204,38071,90276
1473019372,38073,90278
1473019921,38070,90274
1473020522,38066,90270
1473021125,37983,90187
1473021722,37982,90186
1473022321,37980,90184
1473022563,37981,90185
1473022969,37957,90156
1473023522,37960,90159
1473024122,37952,90152
1473024722,37955,90154
1473024974,38004,90203
1473025322,38005,90205
1473025922,38001,90201
1473026163,38004,90204
1473026522,38001,90203
1473027122,38002,90204
1473027722,38005,90207
1473028322,38007,90209
1473028805,38036,90238
1473028922,38034,90236
1473029522,38044,90247
1473029762,38043,90246
1473030122,38041,90246
1473030171,38037,90242
1473030725,37920,90124
1473031450,37918,90122
1473031921,37922,90125
1473032644,37997,90200
1473033122,37993,90196
1473033363,37995,90199
1473033722,37983,90185
1473033771,37981,90183
1473034323,37997,90200
1473034670,37997,90200
1473034922,37993,90195
1473035581,37993,90196
1473036122,38000,90204
1473036485,37988,90192
1473036722,37983,90187
1473036962,37986,90190
1473037322,38004,90208
1473037431,38002,90206
1473037921,38001,90205
1473038406,37941,90145
1473038522,37937,90141
1473039122,37939,90143
1473039721,37941,90145
1473040325,38000,90206
1473040563,37993,90199
1473040923,37990,90193
1473040971,37991,90194
1473041522,37992,90195
1473042121,37994,90197
1473042722,37993,90196
1473042781,37997,90201
1473043321,37998,90202
1473043922,38000,90204
1473044165,37931,90135
1473044521,37930,90135
1473044570,37927,90132
1473045722,37921,90126
1473046321,37922,90127
1473046922,37922,90127
1473047523,37931,90134
1473048005,38012,90215
1473048122,38015,90218
1473048722,38020,90224
1473049321,38031,90235
1473049925,38019,90223
1473049981,38002,90206
1473050521,37992,90195
1473051122,38005,90208
1473051362,38004,90207
1473051770,38002,90204
1473052922,37998,90201
1473053521,37999,90202
1473053772,38061,90264
1473054122,38058,90260
1473054722,38067,90270
1473054963,38070,90272
1473055687,37952,90154
1473055921,37953,90154
1473056522,37953,90154
1473057122,37957,90158
1473057181,37953,90153
1473057603,38014,90214
1473057721,38000,90195
1473058922,38004,90198
1473059522,38007,90201
1473060122,38010,90204
1473060781,38002,90196
1473061444,37946,90136
1473061921,37947,90138
1473062162,37946,90137
1473062521,37948,90139
1473062570,37944,90135
1473063122,37953,90144
1473063470,37954,90145
1473063721,37957,90149
1473064381,37946,90138
1473064922,37947,90139
1473065524,38019,90216
1473065763,38015,90212
1473066170,38013,90210
1473066722,38015,90212
1473067446,37973,90170
1473067922,37974,90171
1473068521,37976,90173
1473069362,38033,90230
1473069770,38026,90223
1473070321,38023,90226
1473070921,38029,90232
1473071522,38028,90230
1473072121,38022,90224
1473073212,37972,90174
1473073321,37977,90179
1473073372,37973,90175
1473074521,37961,90163
1473075127,38009,90211
1473075721,38010,90212
1473076322,38015,90218
1473076562,38016,90219
1473076922,38027,90230
1473076972,38029,90232
1473077522,38019,90219
1473078122,38022,90222
1473078965,38020,90218
1473079322,38016,90213
1473080163,38018,90217
1473080522,38019,90219
1473081122,38021,90221
1473081722,38018,90218
1473082322,38010,90207
1473083044,37999,90197
1473083522,38000,90198
1473083762,37996,90194
1473084121,37997,90194
1473084722,37990,90185
1473085322,37996,90191
1473086522,38001,90196
1473087123,38040,90235
1473087362,38040,90235
1473087721,38032,90227
1473088322,38035,90231
1473089045,37953,90150
1473090122,37954,90151
1473090962,38022,90219
1473090963,38027,90224
1473091370,38025,90222
1473091921,38028,90225
1473092210,38030,90227
1473092521,38032,90229
1473092884,37970,90166
1473093721,37967,90162
1473094322,37969,90164
1473094804,38037,90232
1473094972,38034,90230
1473095521,38039,90236
1473096121,38038,90235
1473096723,38076,90274
1473097321,38072,90270
1473098162,38064,90263
1473098570,38051,90250
1473099603,37962,90160
1473099722,37965,90163
1473100563,38071,90272
1473100922,38071,90272
1473101522,38073,90274
1473101762,38076,90277
1473102122,38080,90281
1473102722,38084,90286
1473103443,38031,90232
1473103922,38020,90220
1473104403,38075,90276
1473104647,38077,90278
1473105123,38069,90269
1473105362,38065,90265
1473105832,38079,90278
1473106921,38082,90281
1473107522,38079,90278
1473107581,38069,90268
1473108243,38107,90306
1473108722,38108,90307
1473109210,38000,90199
1473109322,37971,90165
1473109370,37970,90164
1473109922,37972,90166
1473110390,37974,90168
1473110522,37975,90169
1473111121,37978,90172
1473111181,37982,90176
1473111722,37989,90183
1473112082,38040,90234
1473112562,38044,90238
1473112921,38044,90238
1473113030,38043,90237
1473113522,38046,90240
1473114121,38043,90237
1473115921,38048,90242
1473116163,38044,90238
1473116522,38066,90260
1473116884,38045,90239
1473117843,37976,90170
1473118321,37981,90174
1473118381,37976,90169
1473118921,37978,90171
1473119521,37978,90172
1473119763,38042,90236
1473120172,38042,90236
1473120722,38043,90237
1473121071,38044,90238
1473121321,38041,90233
1473122522,38044,90235
1473123121,38050,90241
1473123604,38080,90271
1473123721,38082,90273
1473124322,38085,90276
1473124803,37961,90152
1473124922,37957,90149
1473125523,38024,90217
1473126121,38014,90207
1473126721,38023,90217
1473126963,38014,90208
1473127322,38014,90209
1473127372,38011,90206
1473127922,38013,90208
1473128643,37945,90140
1473129123,37950,90145
1473129362,38021,90216
1473129721,38019,90214
