DateTime,Entries,UniqueIPs
1472703849,2647,2647
1472704819,2643,2643
1472705789,2637,2637
1472706744,2649,2649
1472707716,2647,2647
1472708682,2657,2657
1472709660,2683,2683
1472710587,2659,2659
1472711696,2657,2657
1472712749,2623,2623
1472713711,2593,2593
1472714654,2583,2583
1472715632,2569,2569
1472716593,2557,2557
1472717543,2565,2565
1472718520,2547,2547
1472719461,2557,2557
1472720473,2573,2573
1472721389,2583,2583
1472722359,2595,2595
1472723303,2605,2605
1472724264,2609,2609
1472725223,2617,2617
1472726187,2619,2619
1472727150,2635,2635
1472728104,2635,2635
1472729061,2635,2635
1472730031,2649,2649
1472730978,2667,2667
1472731968,2703,2703
1472732906,2703,2703
1472733853,2717,2717
1472734859,2705,2705
1472735792,2687,2687
1472736750,2679,2679
1472737716,2671,2671
1472738692,2690,2690
1472739620,2674,2674
1472740602,2676,2676
1472741542,2679,2679
1472742511,2672,2672
1472743461,2666,2666
1472744431,2678,2678
1472745384,2668,2668
1472746365,2668,2668
1472747302,2676,2676
1472748259,2700,2700
1472749265,2702,2702
1472750206,2724,2724
1472751158,2748,2748
1472752113,2766,2766
1472753073,2812,2812
1472754018,2834,2834
1472754995,2846,2846
1472755948,2836,2836
1472756913,2840,2840
1472757854,2830,2830
1472758843,2804,2804
1472759778,2800,2800
1472760744,2790,2790
1472761717,2782,2782
1472762693,2768,2768
1472763676,2736,2736
1472764590,2726,2726
1472765550,2694,2694
1472766500,2690,2690
1472767466,2684,2684
1472768416,2672,2672
1472769390,2661,2661
1472770349,2663,2663
1472771306,2691,2691
1472772251,2683,2683
1472773227,2699,2699
1472774429,2731,2731
1472775403,2763,2763
1472776345,2767,2767
1472777309,2789,2789
1472778274,2803,2803
1472779241,2813,2813
1472780190,2783,2783
1472781146,2806,2806
1472782112,2862,2862
1472783052,2868,2868
1472784032,2880,2880
1472784995,2880,2880
1472785946,2896,2896
1472786908,2905,2905
1472787868,2923,2923
1472788860,2943,2943
1472789792,2979,2979
1472790753,2983,2983
1472791701,3009,3009
1472792662,3057,3057
1472793631,3068,3068
1472794579,3078,3078
1472795550,3076,3076
1472796505,3077,3077
1472797452,3086,3086
1472798424,3112,3112
1472799476,3104,3104
1472800573,3087,3087
1472801558,3085,3085
1472802510,3073,3073
1472803457,3080,3080
1472804410,3066,3066
1472805395,3084,3084
1472806341,3080,3080
1472807304,3102,3102
1472808249,3096,3096
1472809227,3060,3060
1472810183,3050,3050
1472811410,3040,3040
1472812353,3048,3048
1472813300,3018,3018
1472814265,3040,3040
1472815219,3026,3026
1472816195,2998,2998
1472817151,2986,2986
1472818109,2979,2979
1472819059,2985,2985
1472820029,2973,2973
1472821071,2977,2977
1472822396,2971,2971
1472823670,2985,2985
1472824586,2985,2985
1472825550,3015,3015
1472826511,3038,3038
1472827454,3035,3035
1472828480,3061,3061
1472829397,3071,3071
1472830359,3099,3099
1472831302,3145,3145
1472832265,3155,3155
1472833230,3149,3149
1472834186,3167,3167
1472835147,3187,3187
1472836116,3177,3177
1472837055,3171,3171
1472838025,3167,3167
1472838992,3167,3167
1472839951,3171,3171
1472840899,3179,3179
1472841860,3171,3171
1472842945,3171,3171
1472844022,3187,3187
1472844986,3185,3185
1472845940,3195,3195
1472846942,3187,3187
1472847850,3195,3195
1472848819,3174,3174
1472849813,3180,3180
1472850759,3164,3164
1472851698,3164,3164
1472852661,3144,3144
1472853665,3138,3138
1472854586,3142,3142
1472855550,3100,3100
1472856503,3052,3052
1472857463,3009,3009
1472858433,2910,2910
1472859385,2897,2897
1472860351,2819,2819
1472861273,2795,2795
1472862250,2767,2767
1472863222,2743,2743
1472864182,2727,2727
1472865143,2683,2683
1472866092,2653,2653
1472867056,2625,2625
1472868059,2611,2611
1472868985,2589,2589
1472869952,2545,2545
1472870906,2577,2577
1472871860,2567,2567
1472872823,2585,2585
1472873830,2583,2583
1472874746,2559,2559
1472875704,2553,2553
1472876685,2547,2547
1472877632,2532,2532
1472878580,2512,2512
1472879555,2498,2498
1472880497,2510,2510
1472881455,2508,2508
1472882471,2498,2498
1472883387,2492,2492
1472884350,2476,2476
1472885310,2476,2476
1472886260,2472,2472
1472887221,2482,2482
1472888192,2488,2488
1472889147,2462,2462
1472890106,2454,2454
1472891061,2420,2420
1472892031,2406,2406
1472892978,2388,2388
1472893951,2364,2364
1472894904,2342,2342
1472895853,2324,2324
1472897201,2308,2308
1472898271,2284,2284
1472899228,2282,2282
1472900192,2272,2272
1472901139,2248,2248
1472902104,2230,2230
1472903060,2220,2220
1472904065,2220,2220
1472905267,2218,2218
1472906180,2208,2208
1472907149,2190,2190
1472908138,2192,2192
1472909056,2184,2184
1472910021,2186,2186
1472910995,2184,2184
1472911945,2154,2154
1472912911,2108,2108
1472913860,2116,2116
1472914850,2066,2066
1472915779,2022,2022
1472916746,1992,1992
1472917709,1948,1948
1472918664,1946,1946
1472919624,1948,1948
1472920589,1940,1940
1472921543,1928,1928
1472922516,1940,1940
1472923460,1960,1960
1472924419,1948,1948
1472925399,1940,1940
1472926355,1942,1942
1472927314,1960,1960
1472928262,1970,1970
1472929270,1958,1958
1472930191,1974,1974
1472931154,1976,1976
1472932102,1948,1948
1472933064,1940,1940
1472934021,1948,1948
1472934995,1930,1930
1472935941,1932,1932
1472936957,1934,1934
1472938102,1930,1930
1472939060,1950,1950
1472940055,1954,1954
1472940981,1934,1934
1472941956,1940,1940
1472942900,1932,1932
1472943856,1922,1922
1472944831,1908,1908
1472945796,1910,1910
1472946746,1898,1898
1472947706,1880,1880
1472948631,1878,1878
1472949633,1900,1900
1472950584,1902,1902
1472951548,1902,1902
1472952503,1904,1904
1472953455,1912,1912
1472954501,1908,1908
1472955626,1898,1898
1472956591,1902,1902
1472957542,1872,1872
1472958499,1868,1868
1472959466,1858,1858
1472960429,1838,1838
1472961391,1828,1828
1472962349,1838,1838
1472963319,1832,1832
1472964254,1844,1844
1472965270,1838,1838
1472966188,1838,1838
1472967421,1842,1842
1472968355,1844,1844
1472969304,1856,1856
1472970255,1842,1842
1472971238,1854,1854
1472972182,1848,1848
1472973161,1834,1834
1472974099,1854,1854
