DateTime,Entries,UniqueIPs
1472603798,4269,4269
1472604744,4240,4240
1472605743,4217,4217
1472606664,4240,4240
1472607631,4307,4307
1472608577,4307,4307
1472609562,4330,4330
1472610500,4347,4347
1472611456,4332,4332
1472612472,4322,4322
1472613422,4332,4332
1472614356,4335,4335
1472615304,4314,4314
1472616269,4323,4323
1472617218,4329,4329
1472618191,4338,4338
1472619163,4343,4343
1472620111,4320,4320
1472621056,4307,4307
1472622036,4320,4320
1472622988,4319,4319
1472623954,4310,4310
1472624907,4252,4252
1472625852,4243,4243
1472626877,4252,4252
1472627810,4257,4257
1472628747,4240,4240
1472629720,4231,4231
1472630663,4252,4252
1472631639,4243,4243
1472632602,4244,4244
1472633557,4253,4253
1472634499,4258,4258
1472635477,4273,4273
1472636435,4290,4290
1472637401,4285,4285
1472638352,4285,4285
1472639318,4283,4283
1472640256,4291,4291
1472641302,4277,4277
1472642204,4293,4293
1472643161,4306,4306
1472644120,4295,4295
1472645072,4297,4297
1472646047,4297,4297
1472647011,4306,4306
1472647961,4320,4320
1472648909,4330,4330
1472649864,4325,4325
1472650840,4343,4343
1472651778,4335,4335
1472652763,4378,4378
1472653700,4395,4395
1472654662,4393,4393
1472655668,4410,4410
1472656601,4410,4410
1472657558,4428,4428
1472658517,4446,4446
1472659467,4441,4441
1472660435,4428,4428
1472661398,4435,4435
1472662361,4424,4424
1472663311,4438,4438
1472664270,4456,4456
1472665283,4444,4444
1472666197,4439,4439
1472667159,4422,4422
1472668108,4417,4417
1472669061,4408,4408
1472670063,4408,4408
1472671001,4405,4405
1472671961,4406,4406
1472672921,4396,4396
1472673867,4390,4390
1472674837,4366,4366
1472675801,4374,4374
1472676755,4358,4358
1472677722,4350,4350
1472678668,4360,4360
1472679631,4385,4385
1472680585,4396,4396
1472681561,4420,4420
1472682517,4423,4423
1472683460,4431,4431
1472684540,4457,4457
1472685623,4478,4478
1472686599,4484,4484
1472687561,4494,4494
1472688499,4514,4514
1472689465,4525,4525
1472690439,4533,4533
1472691385,4540,4540
1472692344,4527,4527
1472693304,4505,4505
1472694257,4518,4518
1472695268,4539,4539
1472696176,4540,4540
1472697159,4547,4547
1472698112,4562,4562
1472699054,4543,4543
1472700019,4552,4552
1472700994,4566,4566
1472701937,4557,4557
1472702916,4588,4588
1472703852,4594,4594
1472704823,4584,4584
1472705791,4573,4573
1472706747,4585,4585
1472707719,4584,4584
1472708686,4598,4598
1472709663,4632,4632
1472710590,4604,4604
1472711699,4592,4592
1472712752,4560,4560
1472713714,4540,4540
1472714657,4525,4525
1472715635,4519,4519
1472716596,4505,4505
1472717547,4515,4515
1472718523,4495,4495
1472719464,4502,4502
1472720477,4533,4533
1472721392,4541,4541
1472722362,4555,4555
1472723307,4559,4559
1472724267,4561,4561
1472725226,4565,4565
1472726191,4585,4585
1472727153,4600,4600
1472728107,4600,4600
1472729064,4594,4594
1472730034,4591,4591
1472730981,4619,4619
1472731971,4640,4640
1472732909,4644,4644
1472733856,4662,4662
1472734862,4666,4666
1472735795,4657,4657
1472736753,4640,4640
1472737719,4639,4639
1472738695,4656,4656
1472739623,4646,4646
1472740605,4628,4628
1472741545,4629,4629
1472742514,4625,4625
1472743464,4608,4608
1472744434,4626,4626
1472745387,4619,4619
1472746368,4619,4619
1472747305,4627,4627
1472748262,4651,4651
1472749267,4651,4651
1472750209,4675,4675
1472751161,4706,4706
1472752116,4725,4725
1472753077,4770,4770
1472754021,4792,4792
1472754998,4797,4797
1472755952,4787,4787
1472756916,4799,4799
1472757857,4799,4799
1472758846,4762,4762
1472759780,4756,4756
1472760747,4742,4742
1472761721,4733,4733
1472762696,4724,4724
1472763679,4687,4687
1472764593,4673,4673
1472765553,4636,4636
1472766503,4635,4635
1472767469,4640,4640
1472768419,4631,4631
1472769394,4611,4611
1472770352,4612,4612
1472771310,4651,4651
1472772255,4640,4640
1472773230,4656,4656
1472774432,4695,4695
1472775406,4732,4732
1472776348,4737,4737
1472777312,4764,4764
1472778277,4770,4770
1472779244,4760,4760
1472780193,4718,4718
1472781149,4757,4757
1472782115,4820,4820
1472783056,4820,4820
1472784035,4831,4831
1472784998,4826,4826
1472785949,4832,4832
1472786911,4845,4845
1472787871,4839,4839
1472788863,4862,4862
1472789795,4911,4911
1472790756,4927,4927
1472791703,4948,4948
1472792665,4986,4986
1472793634,5005,5005
1472794583,5001,5001
1472795572,5005,5005
1472796508,5011,5011
1472797455,5028,5028
1472798427,5071,5071
1472799479,5054,5054
1472800576,5038,5038
1472801561,5030,5030
1472802513,5016,5016
1472803462,5015,5015
1472804413,5007,5007
1472805398,5028,5028
1472806344,5018,5018
1472807307,5045,5045
1472808252,5053,5053
1472809230,5012,5012
1472810186,5000,5000
1472811414,4997,4997
1472812356,4998,4998
1472813303,4974,4974
1472814268,4962,4962
1472815222,4963,4963
1472816198,4941,4941
1472817154,4944,4944
1472818112,4929,4929
1472819062,4941,4941
1472820033,4919,4919
1472821075,4930,4930
1472822399,4918,4918
1472823673,4920,4920
1472824589,4928,4928
1472825553,4979,4979
1472826514,4985,4985
1472827457,4977,4977
1472828483,5007,5007
1472829403,5014,5014
1472830362,5034,5034
1472831305,5078,5078
1472832268,5107,5107
1472833233,5107,5107
1472834190,5120,5120
1472835151,5110,5110
1472836119,5085,5085
1472837058,5099,5099
1472838027,5105,5105
1472838995,5105,5105
1472839954,5112,5112
1472840902,5111,5111
1472841864,5105,5105
1472842949,5112,5112
1472844025,5126,5126
1472844989,5110,5110
1472845949,5137,5137
1472846945,5127,5127
1472847853,5138,5138
1472848822,5111,5111
1472849816,5130,5130
1472850766,5123,5123
1472851701,5102,5102
1472852664,5077,5077
1472853671,5054,5054
1472854589,5056,5056
1472855553,5032,5032
1472856506,4997,4997
1472857466,4951,4951
1472858436,4846,4846
1472859388,4837,4837
1472860365,4775,4775
1472861276,4745,4745
1472862253,4716,4716
1472863225,4691,4691
1472864185,4678,4678
1472865147,4607,4607
1472866095,4568,4568
1472867059,4546,4546
1472868063,4551,4551
1472868988,4527,4527
1472869955,4480,4480
1472870909,4520,4520
1472871863,4510,4510
1472872826,4529,4529
1472873833,4526,4526
1472874749,4497,4497
1472875708,4495,4495
1472876689,4485,4485
1472877636,4463,4463
1472878583,4444,4444
1472879558,4453,4453
1472880500,4462,4462
1472881459,4461,4461
1472882475,4446,4446
1472883390,4446,4446
1472884353,4428,4428
1472885314,4427,4427
1472886263,4420,4420
1472887224,4428,4428
1472888195,4425,4425
1472889150,4405,4405
1472890110,4400,4400
1472891065,4372,4372
1472892034,4351,4351
1472892981,4345,4345
1472893957,4313,4313
1472894907,4289,4289
1472895857,4277,4277
1472897233,4261,4261
1472898275,4230,4230
1472899232,4242,4242
1472900195,4238,4238
1472901143,4217,4217
1472902107,4192,4192
1472903063,4173,4173
1472904068,4184,4184
1472905270,4188,4188
1472906183,4165,4165
1472907152,4151,4151
1472908141,4164,4164
1472909059,4150,4150
1472910024,4150,4150
1472910998,4150,4150
1472911948,4119,4119
1472912914,4079,4079
1472913863,4083,4083
1472914853,4026,4026
1472915782,3989,3989
1472916750,3961,3961
1472917712,3910,3910
1472918667,3904,3904
1472919627,3908,3908
1472920592,3906,3906
1472921547,3902,3902
1472922519,3923,3923
1472923463,3937,3937
1472924422,3909,3909
1472925402,3912,3912
1472926358,3910,3910
1472927317,3925,3925
1472928265,3934,3934
1472929273,3930,3930
1472930194,3946,3946
1472931157,3951,3951
1472932105,3915,3915
1472933068,3908,3908
1472934024,3915,3915
1472934998,3902,3902
1472935944,3910,3910
1472936960,3907,3907
1472938105,3904,3904
1472939063,3912,3912
1472940058,3916,3916
1472940985,3905,3905
1472941959,3919,3919
1472942903,3904,3904
1472943859,3897,3897
1472944834,3883,3883
1472945802,3882,3882
1472946749,3870,3870
1472947709,3853,3853
1472948635,3854,3854
1472949638,3878,3878
1472950588,3848,3848
1472951552,3849,3849
1472952507,3869,3869
1472953458,3886,3886
1472954505,3875,3875
1472955629,3853,3853
1472956602,3859,3859
1472957545,3843,3843
1472958502,3842,3842
1472959469,3831,3831
1472960432,3810,3810
1472961394,3786,3786
1472962353,3799,3799
1472963322,3800,3800
1472964257,3812,3812
1472965273,3810,3810
1472966191,3806,3806
