DateTime,AddedIPs,RemovedIPs
1471623264,302,5
1471630208,41,5
1471633648,26,0
1471644472,111,1
1471648057,25,1
1471651768,22,0
1471655342,18,0
1471662950,43,3
1471666214,48,0
1471673456,95,2
1471676868,75,0
1471680473,40,0
1471687985,91,0
1471691260,43,0
1471694863,41,0
1471698599,37,0
1471702213,50,0
1471705765,52,0
1471709255,15,0
1471713028,75,0
1471716650,68,3
1471720235,65,0
1471723669,24,0
1471727416,36,3
1471731033,41,0
1471734622,18,0
1471738199,25,0
1471741775,23,0
1471745356,35,0
1471748992,16,0
1471752449,13,0
1471756046,33,0
1471759806,54,0
1471763388,59,0
1471766965,67,3
1471770458,26,0
1471774166,22,0
1471777791,51,3
1471785033,78,0
1471788595,26,3
1471792058,56,0
1471795785,50,0
1471803087,48,0
1471806609,30,0
1471810199,51,0
1471813654,20,0
1471817260,17,0
1471820862,48,0
1471824612,29,0
1471828206,30,3
1471831757,30,0
1471835406,60,0
1471838863,67,0
1471842598,42,0
1471846054,110,0
1471849806,92,6
1471853371,27,0
1471871358,5321,52
1471874669,2000,22
1471882165,1096,15
1471893121,880,10
1471896776,381,9
1471903768,270,3
1471907411,174,6
1471910882,122,7
1471914610,68,0
1471918085,81,0
1471925466,168,6
1471936256,148,7
1471947157,1979,19
1471950776,583,5
1471958191,1009,28
1471961615,1168,21
1471976093,2444,14
1471979354,1514,12
1471986775,2204,12
1471990165,737,6
1471993887,683,3
1471997475,392,9
1472001150,329,6
1472008133,392,0
1472011833,185,0
1472015421,179,3
1472019043,170,0
1472022634,97,1
1472026129,153,4
1472029891,42,1
1472033464,30,0
1472036979,47,0
1472040761,47,0
1472044406,49,0
1472048043,53,2
1472051685,71,5
1472054979,47,1
1472087625,1011,12
1472090953,104,1
1472094719,114,3
1472098101,77,0
1472105428,164,0
1472109033,71,2
1472120134,141,0
1472123277,14,0
1472127033,21,1
1472134358,96,9
1472137928,28,0
1472145253,110,3
1472148564,59,1
1472156032,83,0
1472159450,7,0
1472163002,11,0
1472166615,4,0
1472173796,9,0
1472177265,2,0
1472184701,13,0
1472191773,12,1
1472202711,24,2
1472206216,24,0
1472209862,78,1
1472213365,123,3
1472216987,144,1
1472224507,399,11
1472227962,120,1
1472238814,124,2
1472245954,265,9
1472249526,124,3
1472252941,79,0
1472256733,108,0
1472260072,96,0
1472263776,127,0
1472267390,116,0
1472274747,252,9
1472282088,73,4
1472289074,16,1
1472292598,2,0
1472299853,24,0
1472303426,6,0
1472307013,20,0
1472310466,14,0
1472314202,9,0
1472321299,21,0
1472325017,18,0
1472335820,39,0
1472342911,20,0
1472346636,26,0
1472350216,7,0
1472353802,12,0
1472357275,11,0
1472360878,17,0
1472364602,10,0
1472368181,7,0
1472371667,7,1
1472375435,10,1
1472378988,13,1
1472386072,23,0
1472389782,12,0
1472393438,11,0
1472397013,6,0
1472404231,45,0
1472407781,57,0
1472411274,57,0
1472415001,60,0
1472422057,88,0
1472425754,61,0
1472429379,62,0
1472432853,39,4
1472440287,98,0
1472443784,53,0
1472447380,29,0
1472450859,7,0
1472472618,252,2
1472476278,92,2
1472480080,67,1
1472490797,115,0
1472493869,74,3
1472501672,93,2
1472519464,26555,278
1472523114,203,3
1472526663,165,0
1472530165,150,0
1472533668,70,0
1472537371,79,3
1472540991,35,0
1472544473,31,1
1472548186,85,3
1472551827,1151,10
1472555329,132,1
1472558892,37,1
1472566125,3927,27
1472569979,1562,40
1472573514,668,7
1472584559,3787,42
1472587737,556,18
1472609349,1714,18
1472612924,435,6
1472624267,859,13
1472627276,90,0
1472631063,778,17
1472634787,408,7
1472638431,63,0
1472641990,107,1
1472645602,111,3
1472652912,209,5
1472656413,141,8
1472659978,136,6
1472663507,42,1
1472667073,45,1
1472670784,110,5
1472674322,103,1
1472692408,653,5
1472703162,474,3
1472710267,76,0
1472713676,14,1
1472717286,14,0
1472721149,89,1
1472724819,122,2
1472735736,475,13
1472746276,377,7
1472749677,20,0
1472753498,9,2
1472768517,236,3
1472771323,70,0
1472775181,100,3
1472778540,92,0
1472782231,74,0
1472785858,77,0
1472789528,50,3
1472800402,143,0
1472803714,33,0
1472807627,37,4
1472810949,66,1
1472814834,110,8
1472818415,73,0
1472825589,224,12
1472828952,82,0
1472832717,66,1
1472836306,62,3
1472850597,266,6
1472868829,41,5
1472879262,0,1
1472897595,0,1
1472900944,0,1
1472911677,0,1
1472976466,0,1
1472998065,0,2
